userID,userName,password,isAdmin
1,Admin001,Password001,1
2,User001,Password002,0
3,User002,Password003,0
4,User003,Password004,0
5,User004,Password005,0
6,User005,Password006,0
7,User006,Password007,0
8,User007,Password008,0
9,User008,Password009,0
10,User009,Password010,0
11,User010,Password011,0
12,User011,Password012,0
13,User012,Password013,0
14,User013,Password014,0
15,User014,Password015,0
16,User015,Password016,0
17,User016,Password017,0
18,User017,Password018,0
19,User018,Password019,0
20,User019,Password020,0
